H,S,V,R,G,B,GR,CLASS
40,24,223,202,223,216,219,0
38,63,226,170,226,211,215,0
26,48,208,169,203,208,201,0
29,84,242,162,239,242,231,0
30,71,249,180,248,249,241,0
24,31,244,214,238,244,237,0
13,36,243,209,224,243,228,0
16,21,236,217,227,236,229,0
29,56,231,180,229,231,224,0
29,65,222,165,220,222,214,0
24,51,210,168,202,210,201,0
24,51,210,168,202,210,201,0
31,64,224,168,224,223,217,0
31,84,242,162,242,240,232,0
31,45,245,202,245,243,239,0
29,72,229,164,226,229,220,0
27,52,231,184,227,231,223,0
29,60,250,191,248,250,242,0
27,86,204,135,197,204,192,0
23,75,243,172,226,243,225,0
30,68,228,167,227,228,220,0
30,47,228,186,228,228,223,0
27,27,242,216,239,242,237,0
29,27,238,213,237,238,235,0
30,44,234,194,234,234,229,0
32,71,242,175,242,238,233,0
28,37,247,211,245,247,242,0
28,52,227,181,224,227,220,0
32,85,222,148,222,218,212,0
29,52,232,185,231,232,226,0
30,47,235,192,235,235,230,0
31,60,241,184,241,239,234,0
28,41,243,204,240,243,237,0
29,52,244,194,243,244,238,0
29,54,230,181,229,230,224,0
30,77,229,160,229,228,221,0
31,56,238,186,238,236,231,0
28,74,170,121,167,170,163,0
16,33,240,209,226,240,228,0
23,46,243,199,233,243,232,0
27,43,243,202,239,243,236,0
23,49,233,188,222,233,221,0
21,65,226,168,208,226,209,0
43,40,240,202,240,223,231,0
27,38,232,197,229,232,226,0
32,51,212,170,212,209,206,0
29,46,231,189,230,231,226,0
28,46,231,189,228,231,224,0
29,55,231,181,230,231,225,0
23,50,231,186,220,231,219,0
28,60,233,178,230,233,225,0
31,156,173,67,173,170,160,0
36,71,232,167,232,218,220,0
30,103,230,137,230,230,219,0
29,54,233,184,232,233,227,0
10,24,226,205,212,226,215,0
24,32,231,202,225,231,224,0
27,60,225,172,219,225,215,0
27,63,223,168,218,223,214,0
23,27,232,207,226,232,226,0
2,15,239,225,226,239,230,0
28,44,236,195,233,236,230,0
15,32,244,213,229,244,232,0
26,22,240,219,237,240,236,0
29,49,227,183,225,227,221,0
21,30,233,206,225,233,225,0
29,57,232,180,230,232,225,0
27,32,242,212,239,242,237,0
9,15,243,229,233,243,236,0
25,27,237,212,233,237,232,0
6,16,236,221,224,236,227,0
14,19,226,209,217,226,219,0
29,73,251,179,248,251,241,0
25,49,234,189,226,234,224,0
32,125,222,113,222,215,207,0
29,66,237,176,234,237,228,0
34,48,225,183,225,220,219,0
33,51,229,183,229,224,222,0
33,51,229,183,229,224,222,0
29,43,241,200,239,241,235,0
29,43,237,197,236,237,232,0
30,45,237,195,237,237,232,0
31,57,209,162,209,207,203,0
33,59,225,173,225,220,218,0
26,26,237,213,234,237,233,0
26,22,231,211,228,231,227,0
33,41,241,202,241,237,235,0
27,12,232,221,231,232,230,0
22,19,243,225,238,243,238,0
29,46,238,195,237,238,233,0
31,39,236,200,236,235,232,0
33,39,243,206,243,239,238,0
26,43,244,203,238,244,236,0
32,30,239,211,239,237,235,0
33,60,245,187,245,240,237,0
31,49,231,187,231,230,226,0
28,29,234,207,232,234,230,0
24,41,239,201,232,239,231,0
43,23,231,210,231,222,226,0
31,77,182,127,182,180,175,0
33,23,238,217,238,236,235,0
31,40,241,203,241,240,236,0
23,18,237,220,233,237,233,0
26,30,236,208,232,236,230,0
30,51,240,192,240,240,235,0
29,47,232,189,231,232,227,0
29,35,240,207,239,240,236,0
31,42,230,192,230,229,225,0
32,58,204,158,204,201,198,0
32,65,237,177,237,233,229,0
28,32,240,210,238,240,235,0
25,13,235,223,233,235,232,0
27,28,237,211,234,237,232,0
4,9,236,228,229,236,231,0
29,44,243,201,242,243,238,0
30,49,237,191,237,237,232,0
32,33,237,206,237,235,233,0
31,66,202,150,202,201,196,0
30,33,206,179,206,206,203,0
28,106,218,127,211,218,204,0
31,49,236,191,236,235,231,0
26,32,239,209,235,239,233,0
25,28,231,206,227,231,226,0
22,20,239,220,234,239,234,0
31,47,240,196,240,239,235,0
26,17,239,223,237,239,236,0
33,53,248,196,248,243,241,0
34,46,245,201,245,239,238,0
31,35,239,206,239,238,235,0
25,27,242,216,238,242,237,0
32,53,236,187,236,233,230,0
32,34,240,208,240,238,236,0
32,74,208,148,208,205,200,0
34,8,213,206,213,212,212,3
34,9,198,191,198,197,197,3
34,9,200,193,200,199,199,3
34,8,216,209,216,215,215,3
34,9,188,181,188,187,187,3
34,8,223,216,223,222,222,3
34,8,214,207,214,213,213,3
33,12,184,175,184,183,183,3
43,9,205,198,205,202,203,3
43,9,208,201,208,205,206,3
43,9,204,197,204,201,202,3
34,9,202,195,202,201,201,3
34,9,207,200,207,206,206,3
34,9,191,184,191,190,190,3
34,8,218,211,218,217,217,3
34,9,201,194,201,200,200,3
39,9,207,200,207,205,206,3
40,14,166,157,166,163,164,3
40,12,198,189,198,195,196,3
38,10,201,193,201,199,199,3
34,9,217,209,217,216,216,3
34,9,203,196,203,202,202,3
34,8,216,209,216,215,215,3
33,12,185,176,185,184,184,3
33,11,204,195,204,203,203,3
39,12,209,199,209,206,207,3
39,18,189,176,189,185,186,3
40,12,190,181,190,187,188,3
39,13,190,180,190,187,188,3
33,14,187,177,187,186,186,3
39,14,186,176,186,183,184,3
39,13,192,182,192,189,190,3
40,12,199,190,199,196,197,3
33,14,184,174,184,183,183,3
39,14,178,168,178,175,176,3
40,13,178,169,178,175,176,3
40,12,196,187,196,193,194,3
40,12,189,180,189,186,187,3
37,13,182,173,182,180,180,3
39,19,174,161,174,170,171,3
40,10,226,217,226,223,224,3
39,13,190,180,190,187,188,3
38,17,182,170,182,179,180,3
39,13,197,187,197,194,195,3
40,13,180,171,180,177,178,3
39,13,192,182,192,189,190,3
33,13,190,180,190,189,189,3
41,10,214,206,214,211,212,3
45,9,180,174,180,177,178,3
50,4,218,215,218,216,217,3
60,3,200,198,200,198,199,3
30,4,234,230,234,234,234,3
43,9,202,195,202,199,200,3
43,9,196,189,196,193,194,3
40,10,219,210,219,216,217,3
